,word,freq,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
140,beautiful,39,gorgeous,lovely,stunningly_beautiful,breathtakingly_beautiful,wonderful,fabulous,loveliest,prettiest,beatiful,
141,sometimes,103,often,oftentimes,usually,occasionally,Sometimes,Often,frequently,typically,rarely,
142,love,37,loved,adore,loves,passion,hate,loving,Ilove,affection,undying_love,
143,speed,31,speeds,spped,guide_................_FTSE,guide_......................,Speed,##mph_##km_h,6km_h,##Mbit/sec,warning_van_Laar,
144,background,50,backgrounds,backround,backgound,Eurasia_Insight_archives,His_NOTXT,see_EurasiaNet_archive,regimen_OBR,Background,experience,
145,trip,35,trips,excursion,jaunt,trek,sojourn,stopover,jaunts,journey,Trip,
146,main,63,biggest,key,major,sole,primary,themain,twofold,predominant,central,
147,come,96,coming,go,bring,came,get,brought,gone,happen,put,
148,available,30,availabe,readily_available,avaliable,availble,avaiable,Available,avaialble,areavailable,avilable,
149,bright,50,brighter,dim,brightest,shining,brighten,Plaxico_Rosenhaus,thing_Swistel,blindingly_bright,dazzlingly_bright,
150,close,63,closed,closing,closest,closer,toclose,Close,open,closes,between,
151,almost,47,nearly,practically,virtually,Almost,roughly,seemingly,Virtually,just,Nearly,
152,software,31,sofware,Software,copyrightable_Taney,softwares,CodeArmor,hardware,DevPartner_Studio,UML_modeling,softare,
153,end,85,ending,ends,beginning,ended,theend,endof,midpoint,start,prolong,
154,technique,30,techniques,method,methods,Technique,tactic,footwork,optogenetics,microscopy_technique,microscopy_techniques,
155,check,35,checking,checks,checked,Checking,recheck,doublecheck,Check,VGGEN_often,Charge_Issuing_worthless,
156,hour,99,hours,minutes,minute,##/#-hour,hourlong,##minute,##minutes,halfhour,day,
157,perfect,141,ideal,pefect,terrific,flawless,fabulous,excellent,good,superb,wonderful,
158,effect,44,impact,effects,impacts,dampening_effect,efect,adverse_effects,detrimental_effect,implications,deleterious_effect,
159,rule,30,rules,Rule,law,ruled,Fifa_statutes,ruling,Gensym_flagship_G2,directive,edict,
160,looking,172,look,searching,hoping,trying,Looking,eyeing,aiming,seeing,striving,
161,urban,29,Alan_Broadbent_Expert,urbanized,rural,walkable_urban,political_thriller_TANTRUM,bodies_ULBs,local_bodies_ULBs,suburban_exurban,urban_dwellers,
162,mind,44,minds,concentration_Petruzziello,em_comin,thinking,eyes,Simple_Keb_Mo,subconscious_mind,mindset,Boggles,
163,picture,521,pictures,photograph,portrait,photo,photos,photographs,images,picutre,image,
164,quite,58,very,pretty,fairly,incredibly,so,terribly,exceedingly,Quite,awfully,
165,thing,237,things,something,stuff,really,think,Really,sounds_trite,aspect,reason,
166,world,33,globe,theworld,country,continent,world__,nation,global,worldwide,United_States,
167,eye,27,eyes,Eye,eyelid,ear,eyeball,beady_eye,Obagi_ELASTIderm_TM,Morgan_Tsvangirai_ur,beady,
168,number,44,numbers,numberof,thenumber,proportion,num_ber,many,numer,amount,Number,
169,b,28,c,f,**_ls,j,*_lls,@_lls,i_####.##_subds,See_USSG__#B#.#,TCA__##-##-###,
170,control,40,controlling,contol,controls,controlled,Control,Controlling,grip,con_trol,conrol,
171,element,104,component,aspect,elements,facet,dimension,ingredient,factor,part,aspects,
172,add,81,Adding,Add,adds,bring,augment,create,incorporate,expand,combine,
173,amazing,55,incredible,awesome,unbelievable,fantastic,phenomenal,astounding,wonderful,unbelieveable,remarkable,
174,distance,26,distances,Distance,withing_striking,SMA##_remained_-##.##,Distances,visiting_http://www.newswire.ca/webcast,Chainsaws_hummed,preternaturally_youthful_Romney,shorter_distances,
175,digital,26,digitial,Digital,digital_imaging,digitally,digitization,highdefinition,multimedia,For_VUKUNET_logos,HandHeld_Entertainment_NASDAQ_ZVUE,
176,black,65,white,Responded_Letterman_How,blacks,crypt_inscribed,transporting_petrochemicals,brown,Shilah_Phillips,women_dating_interracially,wrote_Newitz,
177,capturing,95,capture,captured,Capturing,captures,recapturing,nabbing,seizing,securing,snaring,
178,travel,63,traveling,Travel,travelers,trips,travels,trip,journeys,airfare,Travelling,
179,size,114,sized,Size,sizes,4_chars,Hanny_Voorwerp_Keel,height,width,larger,small,
180,learning,53,teaching,learn,Learning,reteaching,learner_centered,emergent_literacy,teach,kinesthetic_learning,learners,
181,difference,26,disparity,discrepancy,differnce,differences,diference,dif_ference,Difference,differance,direct_correlation,
182,learn,65,teach,Learn,learned,learning,visit_www.imuc.com,discover,Vectren_visit_http://www.vectren.com,please_visit_www.ubisoftgroup.com,Company_visit_http://www.csst.com,
183,line,26,lines,homez.##/telenews/www/wp-content/plugins/wp-postviews/wp-p,coach_George_Yarno,httpdocs_wp_includes_rss.php,Line,coach_Bob_Palcic,line.The,home/content/c/#/#/c#####/html/libraries/joomla/applicatio,###kV_overhead,
184,video,26,videos,Video,Efforting_soundbites,video_clips,INCLUDES_previously_unreleased,videotape,footage,vidoe,Watch_TimesCast_daily,
185,reflection,40,reflective,reflected,reflect,reflects,reflecting,refection,testament,reflections,Reflecting,
186,weather,26,wet_weather,Weather,inclement_weather,wintry_weather,wintery_weather,weatherwise,stormy_weather,Unusually_mild,Unseasonably_warm,
187,speck,26,tiny_speck,specks,dust_mote,fleck,mote,tiny_specks,insignificant_speck,splotch,zircon_crystal,
188,top,28,Top,topmost,tops,thetop,top##,upper_echelon,highest,No.1,No.,
189,making,111,made,make,Making,makes,Make,becoming,makin,getting,mak_ing,
190,lonely,25,lonesome,loneliness,loneliest,forlorn,lonelier,solitude,desolate,hopeless,lovelorn,
191,later,42,after,before,earlier,ago,shortly_thereafter,shortly_afterwards,subsequently,Later,eventually,
192,blog,25,Blog,blogs,blogger,blogsite,Weblog,Visit_Sandy_Bauers,blogging,http://go.philly.com/greenspace,Blogger,
193,firmware,25,Firmware,firmware_update,firmware_upgrade,firmware_updates,BIOS,bootloader,PSP_firmware,#.#.#_firmware,ROMs,
194,big,90,huge,bigger,biggest,major,gigantic,HUGE,large,humongous,Huge,
195,bit,106,little,wee_bit,tad,litle_bit,maybe,somewhat,kinda,teeny_bit,litte,
196,able,129,unable,ableto,trying,can,allowed,managed,enough,ability,could,
197,fact,62,actuality,actually,retrospect,that,assertion,protestations,statistic,indeed,why,
198,balance,32,balances,delicate_balance,balancing,equilibrium,balanced,Balance,Zyprexa_Cymbalta_Humalog,payments_BoP,RIAs_Rich,
199,together,25,gether,togther,cohesively,cohesive,Together,togehter,harmoniously,disparate,delicately_balanced_Lieberman,
200,perspective,65,viewpoint,perspectives,standpoint,prespective,standpoints,vantage_point,persepective,context,view,
201,taking,184,take,took,Taking,taken,takes,handing,giving,putting,Take,
202,mean,30,means,imply,equate,necessarily,necessitate,entail,bode_well,portend,do,
203,website,24,Web_site,webpage,Website,homepage,web,websites,webiste,www,Web_Site,
204,especially,106,particularly,Particularly,Especially,particulary,doubly,very,extremely,really,particuarly,
205,middle,27,Middle,gunfire_Elumbaugh,overtime_Clarett_bulled,Bab_al_Mashhad,runic_setup_signifies,Vandna_Jain_walk,smack_dab,plunked_Alex_Rios,upper,
206,film,26,movie,films,filmmaker,filmmakers,filmmaking,movies,cinema,Guy_Ritchie_Revolver,Vasanthabalan,
207,case,27,cases,habeas_corpus_proceeding,Cases,prosecution,acquital,Chanins,recusal_motion,trial,Judge_recuses_himself,
208,large,120,sizeable,small,sizable,Large,huge,larger,massive,smaller,substantial,
209,allows,52,enables,lets,enabling,empowers,allow,affords,allowing,helps,requires,
210,others,84,those,people,other,them,Others,bystanders,Crilly_niece,MIP_Peachtree_SalesLogix_Timberline,HDNet_Movies_Sneak_Previews,
211,quality,23,highquality,Quality,ratios_Nonaccruing_loans,SDVOSB_firms,quailty,quaility,PowerMax_Looking,reliability,centered_neurologic,
212,second,43,third,fourth,fifth,first,sixth,seventh,eighth,ninth,fouth,
213,order,33,orders,ordering,TRO_temporary_restraining,ordered,mandamus_compelling,orderto,impugned_notification,necessary,directive,
214,tool,35,tools,toolkit,indispensable_tool,toolset,method,Tool,Toolkit,toolbox,useful,
215,away,79,out,off,apart,down,back,into,awayfrom,aways,in.,
216,zoom,26,zooming,zooms,aperture_settings,digital_zoom,magnification,zooming_panning,Optical_zoom,Digital_IXUS_i,zoom_3x_optical,
217,update,22,updates,updated,updating,DESCRIPTION_rPath,TITLE_Red_Hat,Fierce_ContentManagement,GoldCore_blog,DESCRIPTION_Debian,DESCRIPTION_Red_Hat,
218,remember,88,forget,remembering,remembered,vividly_remember,know,recollect,remembers,remind,tell,
219,city,34,citys,mayor,town,municipality,municipal,downtown,thecity,Mayor,district,
220,say,159,believe,argue,know,tell,insist,think,speculate,presume,suggest,
221,morning,110,afternoon,evening,moring,midday,night,afteroon,Friday,Monday,midmorning,
222,behind,75,behing,Behind,ahead,beind,atop,inside,away,apart,front,
223,contrast,33,sharp_contrast,stark_contrast,comparison,contrasts,contrasted,Contrast,contrasts_sharply,constrast,contrasted_sharply,
224,hard,197,harder,Hard,tough,difficult,hardest,frustrating,easy,good,really,
225,reason,52,reasons,why,justification,excuse,motivating_factor,explanation,rationale,thing,because,
226,probably,109,maybe,anyway,guess,certainly,definitely,think,Probably,suppose,obviously,
227,last,88,earlier,Last,ago,previous,first,after,next,past,this,
228,early,36,late,Early,mid,Late,sometime,before,earliest,until,eary,
229,lower,123,higher,reduced,weaker,lowering,Higher,low,Lower,higer,lowered,
230,nice,211,good,lovely,neat,fantastic,wonderful,terrific,great,awesome,nicer,
231,third,43,fourth,second,fifth,sixth,seventh,eighth,ninth,first,fouth,
232,likely,124,unlikely,expected,likley,may,inclined,probably,might,likeliest,could,
233,nature,23,natures,Purists_insist,inherently,inter_relatedness,Kaminak_disclosure,intangibility,interiority,impermanent,CN_cautions,
234,three,112,four,five,two,six,seven,eight,nine,eleven,several,
235,open,51,opened,closed,opens,opening,reopen,closes,close,9am_5pm_Mon,reopened,
236,given,82,gave,give,giving,provided,offered,received,accorded,Giving,afforded,
237,fix,21,fixes,rectify,Fixing,repair,fixing,Fix,fixable,remedy,solve,
238,color,21,colors,Color,TEXOMA_Water,RICHLAND_CHAMBERS_Water,vibrant_colors,hues,color_palette,blues_grays,browns_grays,
239,aspect,76,facet,aspects,element,facets,thing,component,every_facet,dimension,elements,
240,leading,26,Leading,preeminent,premier,pre_eminent,aleading,world'sleading,theleading,led,prominent,
241,within,30,withing,Within,over,beyond,w_ithin,only,within##,remaining,withinthe,
242,scouting,30,scout,scouted,scouts,Scouting,amateur_scouting,Billerica_Chelmsford_Dracut_Dunstable,director_Tony_DeMacio,Todd_Ripplinger,Barot_Nadeem_Tarmohammed,
243,include,41,included,includes,clude,inlcude,consist,involve,including,encompass,revolve_around,
244,process,22,processes,pro_cess,multistep_process,processs,proc_ess,process.The,procedure,Process,laborious,
245,lake,37,lakes,river,creek,pond,manmade_lake,lagoon,lakeshore,ponds,flowage,
246,easier,61,harder,easer,simpler,easy,trickier,difficult,quicker,Easier,tougher,
247,wanted,48,want,tried,knew,did,wants,wanting,liked,decided,wished,
248,h,50,f,b,g,j,l,d,,ch,ar,
249,opportunity,29,chance,oppurtunity,opportunities,opporunity,oppor_tunity,oppportunity,oportunity,opportunityto,opprtunity,
250,leave,63,leaving,stay,depart,Leaving,left,leaves,return,vacate,quit,
251,trying,93,attempting,tried,Trying,try,tryingto,hoping,striving,endeavoring,tyring,
252,program,20,programs,progam,Program,program.The,initiative,TRIO_Upward_Bound,progams,progamme,Acceleration_Program,
253,experience,23,experiences,experi_ence,expertise,expereince,experince,knowledge,experiece,experienced,exprience,
254,share,20,Share,ashare,worth_###.###mln_rub,shares,pershare,cents,sahre,Including_discontinued_operations,worth_##.###bn_rub,
255,rather,45,instead,Rather,merely,less,simply,more,Instead,than,preferring,
256,mountain,23,mountains,mountainside,mountaintop,slopes,mountainous,mountain_peaks,crag,alpine,hills,
257,nothing,123,anything,Nothing,something,everything,nobody,no,anybody,NOTHING,never,
258,similar,96,similiar,strikingly_similar,Similar,identical,dissimilar,eerily_similar,virtually_identical,different,simliar,
259,move,57,moves,moving,push,moved,step,Moving,relocate,go,switch,
260,front,39,beside,rear,outside,inside,Driv_Driver,infront,manual_recliners,Motioning,side,
261,completely,32,totally,entirely,Completely,utterly,wholly,completly,Totally,altogether,essentially,
262,viewer,23,viewers,listener,Viewer,Viewers,competitor_Lauren_Alaina,reader,moviegoer,audience,filmgoer,
263,problem,58,problems,dilemma,prob_lem,conundrum,probem,shortcoming,Problem,issue,quandary,
264,series,19,things_Bourgoyne,Series,VB_triangular,seires,sereis,SERIES,combat_troop_drawdowns,series.The,Caprica_prequel,
265,bottom,19,Markus_Reinke,Joining_Lynche,Joining_Benami,visit_www.ventanaresearch.com,Monsanto_Kimbrell,Desmond_Tjiang_Hong_Kong,Eljvir_Duka_Dritan_Duka,botton,Hint_Click_Reply,
266,increase,61,decrease,increases,increased,reduction,increasing,decreases,rise,decreasing,decline,
267,file,19,files,filing,filed,refile,Rod_Aydelotte_photo,File,fi_le,Image_###K_GIF,Filing,
268,got,85,get,gotten,getting,gets,came,gave,gotto,gotta,went,
269,story,19,stories,tale,Associated_PressComment,fable,tales,retelling,narrative,Story,backstory,
270,believe,101,say,think,argue,presume,convinced,believing,beleive,belive,surmise,
271,clear,77,crystal_clear,clearer,abundantly_clear,obvious,clearest,unambiguous,unclear,sure,evident,
272,particularly,52,especially,Particularly,particulary,extremely,doubly,very,terribly,hugely,particuarly,
273,play,27,playing,plays,played,game,toplay,Playing,games,paly,score,
274,single,21,Single,one,asingle,signle,Pinch_hitter_Miguel_Montero,double,Denard_Span_singled,watt_bulb_illuminated,Stephanie_Savre,
