,id,user_token,location,business,sex,employment,education,username,url,agrees,thanks,asks,answers,posts,followees,followers,topic1,topic2,topic3,topic4,topic5,hashId
26,27,du-liu-70,,,male,,,毒瘤,,9090,992,11,16,0,272,197,律师,设计,电影,游戏,创意,b533ffa8ed5cb59cbd09dc829ce29c45
27,28,wu-guan-jia,武汉,,male,,华中科技大学,文亚真,,6979,2545,11,32,0,223,941,城市规划,历史,设计,城市,人文,bc59515f796f62f2046b1f3944949a33
28,29,han-xue-wei,老挝,种植业,male,,,韩学伟,,2207,239,11,47,0,1231,165,生活,淘宝网,摄影,X 是种怎样的体验,阅读,46a3900a0392271dd14a83dd11c377fd
29,30,tang-bo-10,深圳市,电影录音,male,街道办,,唐三皮,,2798,652,11,146,0,229,368,摄影,电影,爱情,苹果公司 (Apple Inc.),Mac,fa2d6de312569e6a41583d7cd375c06a
30,31,yueyihe,天津,地产建筑,male,,,岳意贺,,28033,6173,11,704,4,8864,9481,建筑,建筑设计,摄影,建筑学,设计,be394d1f7bd0ffc7b05ee0ce004e4a60
31,32,liu-yizhi-54,成都,互联网,male,成益优品,,刘一只,,5100,844,11,115,0,31,722,摄影,X 是种怎样的体验,调色,旅行,人生,44e2c01786742616c717828246103d21
32,33,e-miao-de-nai-ba,广州,互联网,male,微信,家里蹲大学,恶膜的奶爸,,661054,126539,11,1231,107,2742,446537,英语,英语学习,生活,教育,心理学,2b81947c2821e9d2f47907a51b15e6f8
33,34,elvin-hu,,,male,,Cooper Union,Elvin Hu,,9556,1495,11,119,0,290,1017,魅族科技,素描,冷知识,日本,字体,78ab35001298dbe297d7c944d9f6b810
34,35,yijia-sun-1991,广东湛江,石油工业,female,中国海洋石油,中国石油大学（北京）,miss sunshine,,0,0,11,0,0,59,17,理光 (Ricoh),软装设计,,,,5eeecf6ffc115159ac7828a03907133e
35,37,shang-guan-ling-yue,北京,,female,,,上官灵悦,,191,50,11,21,0,1120,218,生活,服饰搭配,电影,化妆,日语,572f1c9035eede35dfec09d3658ae8bf
36,38,miaomiaomiao,,互联网,male,微信公众帐号,,徐湘楠,,328668,63080,11,1083,372,2009,113649,情感,小说,电影,写作,心理学,d18b77d8bf4a22d49fbb5b05e451fe20
37,39,jifeng,北京,创意艺术,male,,,季风大湿,,93,0,11,1,2,371,1429,生活,装修,最后生还者（The Last of Us）,苹果公司 (Apple Inc.),创意,d93739ce3c55368b293424db91cf6812
38,40,LancetZhang,康涅狄格,临床医疗,male,辉瑞制药有限公司（Pfizer）,克莱登大学,Llenlleawg,,39997,11073,11,32,3,439,11330,生理学,生物学,医学,心理学,神经科学,f9ca00c110b1b7fe11b0b1f8494977d3
39,41,binka,北京,互联网,male,硬派健身,,斌卡,,376926,39670,11,151,171,92,393176,健身,运动,健康,生活,医学,d3207a7746afbd84017ea6b05b2f1be3
40,42,li-xiao-feng-sky,上海,互联网,male,钛度科技,,Sky李晓峰,,82541,10577,11,26,6,32,90096,心理医生,熔断机制,冰与火之歌（小说）,,,025bcdafd57dbb53166c9615ab17619a
41,43,jiang-zhou-93,蒙特利尔 (Montréal),计算机硬件,male,,Concordia University,Aurora曙光,,1345,377,11,156,0,364,589,摄影,单反相机,相机,摄影器材,旅行,3400f70c40fc5c0a7254add33de10d08
42,44,lisang,伦敦市（City of London）,,male,,上海财经大学,棒棒哒老狐狸,,32562,7198,11,358,0,515,8151,摄影,摄影器材,徕卡 (Leica),相机,旅行,90590baaf2d8ed088a94f74406d65eea
43,45,silentmost,深圳,电子电器,male,科学外贸,农垦,科学外贸老王,,859,187,11,526,16,2265,776,对外贸易,电子商务,外贸电子商务,外贸 B2C,创业,d463da1739bf4d2afee7ad736aa42c89
44,46,ge-xiao-tong,,,male,,,葛小童,,2589,332,11,62,0,778,86,动漫,NBA,魔兽世界,篮球,二次元,15498757257ad33f9b1c9f440af3a228
45,47,you-jian-you-jian,上海,信贷,male,,,又见,,15372,3048,11,56,0,296,998,生活,社会,人生,智商,旅行,5dbaf70d0fca3734b837e7f24177f197
46,48,li-xing-chen-13,北京,军火,male,,哲学经济,黎星辰Aeolus,,8180,1409,11,427,0,4613,1683,电影,军事,游戏,日本动漫,政治,ead07f4ca0f91781f66d14bf4d02a74f
47,49,langquan,普陀山,,male,,,释朗泉,,19223,4089,11,250,1,1467,10896,摄影,灵异事件,摄影技巧,留学日本,Adobe InDesign,01577909c2925594dc02d016c9faf237
48,50,li-bo-ting,美国,咨询分析,male,,,李泊廷,,53,20,11,8,0,85,28,摄影,摄影器材,哲学史,健身,Adobe Photoshop,4950bd23d88bbcc1573029cd8a2c4fab
49,51,xie-ming-1,重庆,互联网,male,,,叶明,,242816,67726,11,285,149,57,150525,摄影,设计,法律,生活,篮球,3ea2a5b8b246612f9f0403d48060ca7b
50,52,11x11,,,male,再也,,硝镁盐,,91216,9750,11,37,3,120,28157,调查类问题,美食,烹饪,感情,钓鱼（广义的）,c6fe99754a3ae4c25e3a8977617a9984
51,53,IchiSuika,上海,,female,神盾局(S.H.I.E.L.D),,Suika Woo,,2478,409,11,37,0,497,1144,调查类问题,ACG,音乐,恋爱,服饰搭配,0d0369575e791405aff87f7ff7872e1d
52,54,masterpa,北京,给排水,male,GI,University of Water,MasterPa,,23062,3955,11,333,16,1333,3594,互联网,滑雪,创业,科技,电影,b1dcab3878a3c1ea8748678e62f246c9
53,55,chenjiestar,,军火,female,,,如烟,,599,200,11,26,0,866,1146,调查类问题,心理学,两性关系,装修,金融学,d7f2a7fd4ca1019ca2e3df3b73b7a79c
54,56,tu-leng-bao,,餐饮,male,,,略略,,0,0,11,0,0,82,1388,甜品,恋爱,谢熊猫君食谱,,,79b646c76d95355991aa033a39c89c3a
55,57,chen-heng-yi-43,,高等教育,male,,,海因里希亲王,,3800,469,11,107,0,138,391,摄影,NBA,篮球,摄影器材,NBA 球员,7234420396acad702d558aef96c36bf9
56,58,xiao-yu-yu-alice,,公共管理,female,,,小宇宇ALICE,,173,54,11,84,0,215,50,动漫,ACG,游戏,漫画,动画,20c9e77576e6f0b166a7d334aef0ea4d
57,59,da-momo-93,武汉,信息传媒,male,,,大momo,,100555,18306,11,340,0,700,15619,摄影,生活,恋爱,两性关系,人际交往,80c413cd4ce4b2928d48e324f5bdc6bf
58,60,ShuaiZuo,太原,,male,,Nottingham Trent University,左帅,,1047,630,11,51,0,42,983,摄影,胶片相机,摄影器材,相机,单反相机,3e0b04a3b9258dcfa2e173d04bfaa397
59,61,mjy-98,,,,,,mjy,,0,0,11,0,0,3,1,vczh（知乎用户）,,,,,36765f0e3211f861cfc3e00c4233caf1
60,62,wangrio,,,female,,,Rio耿直,,29838,6320,11,61,1,246,62177,伊藤博文,,,,,34991ee1d153f350ecb998bebf334323
61,63,torrentking,厦门,广告,male,FIXER Estudio,福州大学,王卿,,9433,1788,11,4,0,35,7769,旅行,手机摄影,微博,微信朋友圈,,a882b317abb33908c009f9afdc73431f
62,64,bai-lao-shi-9-81,北京,信息传媒,male,,北京师范大学,白老湿,,2,0,11,1,0,3,3,摄影,摄影器材,教育培训,留学,动漫,c812a38e86260ec3fc1cbc43569c3c0b
63,65,langlang0614,,,male,,,郎朗,,26971,3544,11,4,0,0,50321,古典音乐,音乐,钢琴,体育,旅行,aee1bb69845226f779ecd351a83eeb02
64,66,kong-chan-52,,高等教育,female,,,千梦少年,,13,0,11,2,0,231,9,生活,经济学,西藏,,,eebf6a860655475973d612ff5740ab92
65,67,lei-mei-tai-si-15,北京,,female,,,雷梅苔丝,,72155,12016,11,75,0,300,74087,生活,电影,音乐,文学,心理学,d97c88e778ed9c9c9a794290b4b25f94
66,68,han-xin-yu-40,北京,教育,male,艺术教育创客,,Hank君,,1127,254,11,103,22,117,999,留学,设计,留学美国,艺术,生活,e0493765ee15e4a5fc5133fbdcefe99f
67,69,cocokele,上海,,female,英属哥伦比亚大学 (University of British Columbia),中山大学（SYSU）,可乐姑娘,,5559,900,11,25,8,298,12446,摄影,女性,移动互联网,互联网,豆瓣,e91d61db3d33aa3101437c9a60d0f739
68,70,aiwupian215,北京,出版业,female,,电影从业者,翩翩,,426,95,11,3,0,375,160,生活,装修,知乎小管家,美国电影,电影原声,60e2dcc08bc1a4b7c861288614cecac6
69,71,seatory,北京,创意艺术,female,图虫,北京电影学院,杜扬Seatory,,4835,134,11,8,26,1005,8018,摄影,人像摄影,艺术,生活经历,历史,e5f77f230a75598cbb807de968b3b6d8
70,72,ma-meng-chu,,高等教育,male,,,马孟初,,2758,67,11,114,5,67,1197,单反相机,微单相机,佳能,Sony A7,相机选购,5bad982a1f75ab63d4b1316a602827f8
71,73,iisee,,,female,,,nomaps,,0,0,11,0,0,824,120,日语,建筑设计,摄影,武汉,装修设计,4c7549d8cc38dea5f7c7ae86c5c18a5f
72,74,qiong-you-jin-nang,,,,,,穷游锦囊,,144832,42587,11,169,153,69,263766,旅行,自助游,旅行攻略,日本,博物馆,3d605c921833207c0d6a12078317debb
73,75,ma-feng-wo-zi-you-xing,,,,,,蚂蜂窝自由行,,37145,6475,11,158,60,144,32694,旅行,美食,自助游,旅行攻略,生活,955ee791ec38f2e579e503cc27b346ac
74,76,qiong-you-wang-46,,,,,,穷游网,,27982,4262,11,79,79,13,23716,旅行,签证,美食,旅行计划,摄影,50259fbd59f2d171233e89d212f817cc
75,77,ma-ming-88-17,西安,,male,,,马鸣,,46514,15617,11,49,10,86,21384,摄影,摄影后期技术,Adobe Photoshop,人像摄影,摄影技巧,0a24d6ba92ce554e119d02dec6b275fe
76,78,xiao-zhu-12-40-56,,,,,,小猪,,32248,15045,11,19,15,20,46551,旅行,书店,旅行分享,住宿,香港,a5679e4a110b86dabccdc8e6aaa03e8f
77,79,chi-cheng-zi-de-hai-li,,,,,,吃橙子的海莉,,0,0,11,0,0,3,6,商业摄影,摄影,英语翻译,手机摄影,小说,bc2c6ac02b3784a0a79b2417eeedb168
78,80,wei-cc-99,北京,出版业,female,,四川美术学院,韦苡珊,,54700,19972,11,21,2,14,32988,手机摄影,Adobe Photoshop,刘看山,,,62e5b5e9e0092228f1c976e1c65a016f
79,81,zhi-xiao-hu-88-80,烟台,互联网,male,,,蚂蚁MaE,,53090,942,11,7,37,8,29242,摄影,知乎日报,民谣,电影,知乎每周精选,e842e6d2cb38ae7127899d516eeac6e8
80,82,hanbowen,北京,创意艺术,male,摄影师,北京电影学院,韩博文,,58,13,11,8,3,12,31,摄影,人像摄影,北京,摄影入门,摄影师,ca104f5261496f3306a21a7e8a9720d3
81,83,nancy-52-55-77,,,female,,,Nancy,,3833,945,11,7,0,3,2053,生活,心理学,电影,微观经济学,女装搭配,714ae7f35bd0a3eeb3a5de48de5b3979
82,84,alexandeng,广州市,创意艺术,male,成都山有木兮文化传播有限公司,伦敦大学学院 (University College London),木西AlexanDENG,,92648,28892,11,382,15,344,67394,摄影,摄影技术,单反相机,摄影器材,摄影师,002cfdef4dc31491651654859fd0e612
83,85,qiuye,,,,,,秋叶,,34892,13460,11,188,0,43,56251,知乎,谷歌中国,微博搜索,投资,社交网络,34c8777b9ba7c16f436f9bf934db56fe
84,86,lin-chu-han-68,,,female,,,林初寒,,381,51,11,3,0,1,2792,值乎,,,,,5fb6dc19791e09b33dd796054aceb317
85,87,panxin,北京,培训,male,新东方在线,北京航空航天大学,潘欣,,24033,4344,11,1323,72,279,146977,电子商务,知乎,在线教育,团购,市场营销,8fbb42031ce0fd2e289feb070edf585d
86,88,puyuping,上海,非营利组织,male,上海少年行青少年成长发展中心,复旦大学,阅世书生,,18786,5098,11,142,14,137,7913,教育,在线教育,创业,互联网,产品经理,a1b49a87c017005e76f27e39bf896b6b
87,89,wang-yi-yun-ke-tang,,,,,,网易云课堂,,705,176,11,12,2,4,2014,互联网,在线教育,网易,网易云课堂,移动互联网,83a4449de2267fe683cd12edaff8628a
88,90,xuejiapeng,北京,互联网,male,网易,北京理工大学（BIT）,薛佳鹏,,131,92,11,12,0,184,68,小米科技,iPhone,iOS 应用,互联网,阅读,d491a6d649428979a73694971e2e9395
89,91,fang-qi-jun-75,杭州,互联网,male,网易游戏,Portland State University,方祺骏,,185,47,11,18,1,14,758,招聘,互联网,商业,创业,经济学,6ba1162a5dec8e1c72313239c55ccfd5
90,92,Glasya-Labolas,,艺术娱乐,male,,,冬青,,11034,1458,11,87,0,79,748,生活,X 是种怎样的体验,人生,动物,人文,c21559d9a52e1431f143d0ee93f67a5a
91,93,timothy-wang-17,,创意艺术,male,,,Timothy Wang,,58629,11660,11,256,78,263,51707,摄影,艺术,摄影技巧,摄影技术,摄影后期技术,d05de6224118819ddd29f0447da00c07
92,94,cocorosie,深圳工作,创意艺术,female,,,可可肉丝儿,,9428,2121,11,13,0,86,708,生活,健康,自然科学,插画,时装设计,4371e049f5bfede7a1a958cfc1c0d786
93,95,susansu-66,NYC,,female,,,SUSAN苏,,26982,4082,11,8,1,87,31722,摄影,建筑,艺术,上海,音乐,ebd18f08adf574515bdf4178e66002d8
94,96,su-a-ning,,,female,,,苏阿凝,,88,10,11,1,0,1,53,媒体从业者,弗吉妮娅·伍尔芙（Virginia Woolf ）,红玫瑰与白玫瑰,知识产权,猎头公司,b21abe2420709728aeb83b9946ebbe81
95,97,shi-yu-88,,,female,,,時雨,,10004,2439,11,19,0,57,16053,个人理财,理财,,,,3126bb47ad38fe4333e530f1b3e45532
96,99,uplusky-tian-hang,北京,信息传媒,female,北京优品加文化传播有限公司,北京工业大学,uplusky天航,,134,0,11,0,1,2,190,胶片摄影,电影,艺术,纪实摄影,商业摄影,88c6b548cba95f0feaf4004c2072d843
97,100,thejennyyy,上海,,female,,香港中文大学 (CUHK),Jennyyy,,527263,154861,11,155,55,383,446801,服饰搭配,时尚,生活,化妆,心理学,d366cd9b6ece8d5140532dd5a91fea6d
98,101,hu2ge1,,,male,,,胡戈,,140073,23072,11,1023,29,15,52948,编剧,电影制作,Android,Google Drive,Gmail,335edd7dfe933995b9fa83a4dc67b416
99,102,Dimmy,北京,创意艺术,male,站酷海洛创意,,冉先森,,2942,687,11,54,5,172,4296,摄影,著作权,图片版权,图库,Getty Images,faf24c811dbc8b9289de26a5b29ecd18
100,103,wa-shu-30,广州市,互联网,male,腾讯,,挖数,,115641,10243,11,70,46,581,38695,数据分析,脑洞,商业模式,scrapy,伊隆 · 马斯克（Elon Musk）,82351f1f114f4bb407ada02f85806d50
101,104,le-yong-cheng,广东省,军火,male,西土城,北京电影学院,乐永程,,1213,349,11,14,6,143,411,单反相机,单反镜头,篮球技术,NBA,Kindle,debd7402f554ddf20861e1985348425c
102,105,wu-xiao-qian-55,杭州,互联网,female,,中南财经政法大学,兔小丽莎,,252,204,11,14,0,29,166,美容护肤,化妆品,化妆,青春痘,心理学,e663c4a0da3e75d9a5c513460e4accea
103,106,Kim_Han,北京,,male,ABC,北京大学,Kim Han,,98,35,11,37,0,128,162,摄影,生活,文学,情感,历史,5eac05e5a00cf7b687960313dc3f81ae
104,107,xuebaidehuli,北京,创意艺术,male,,,雪白的狐狸,,43854,9982,11,1351,33,1,23503,摄影,摄影后期技术,美食,生活,Adobe Photoshop,508fc1d48f7e14c4b5e5e4a51da5787c
105,108,fu-yang-97,Los Angeles,汽车,female,日产（NISSAN）,清华大学美术学院,付旸,,1882,805,11,31,0,74,8535,汽车,装修,空间布置,家装,自杀,b90caf4f160a468709ebe4486153125d
106,109,li-song-man-999,北京,创意艺术,female,,,李松蔓999,,635,151,11,2,0,3,556,旅行,烘焙,摄影,表演,手机摄影,4cc4d89663e401895342dbdaf31d3d98
107,110,shimmy-he,清醒梦 (lucid dream),,female,,,ShimmyHe,,30639,4933,11,56,1,80,4258,设计,脑洞,常州,动物,北京外国语大学,c0b4c7c9b61991fd3a1ff6a669ca580d
108,111,chen-zhi-he-47,北京,创意艺术,female,,,陈之荷,,7243,1836,11,12,0,21,3405,心理学,生活方式,游戏,数据分析,排版,310d1d78bebe2598d3c24163efebc9f1
109,112,Boyka2016,广州市,,male,,,Boyka,,141747,23569,11,62,26,43,71917,生活方式,摄影,手机摄影,摄影技巧,商业,35b519a1c8b12c8ce7358afe6294aeb7
110,113,shotgun,环太平洋,互联网,male,启明星辰-国际领先的网络安全产品和安全服务提供商,东南大学,shotgun,,100835,18998,11,781,8,272,58829,网络安全,黑客 (Hacker),信息安全,互联网,美国,a3183ce0664ac190c8ad28147ba49b5a
111,114,weng-xin-79,北京,创意艺术,male,,苏富比艺术学院,翁昕,,32320,6415,11,88,115,140,113454,绘画,艺术史论,美术,游戏,桌面游戏,89f81801990193dcf8d95677d6fe9f18
112,121,youislikehzq,深圳,互联网,female,,,youis,,6678,1907,11,50,0,40,1670,人性,职业发展,猫,吉他谱,美食,4cac2f48d8fd97b4db69c3ef3e8b9817
113,122,yizi91,,,male,,,撸蛋君,,4709,1262,11,2,0,529,2160,成人影片（AV）,冷知识,塔罗牌,四川麻将,历史,c03c6442ea7843b1ca35772f867c1371
114,123,chiulam,香港,,male,,,郭小郭,,5120,2147,11,47,0,0,2324,土木工程,历史,房地产,生活,摄影,e83304b7d3b757ba9562524c155bf81e
115,124,lou.z,南京,创意艺术,male,,Parsons School of Design,娄良,,47031,8769,11,58,7,93,18065,摄影,设计,艺术,调查类问题,生活,2efead45e11950ce16565f1bfb8c56bb
116,125,xiao-xiao-su-7,上海,金融,female,,,小小酥,,54792,21844,11,30,0,313,9344,电影,美食,旅行,生活,音乐,d8a1fd94526170a57c2ce4c3b0dbbe9d
117,126,ma-bo-yong,,,male,,,马伯庸,,575482,88173,11,115,61,57,549881,历史,三国,文化,中国历史,编剧,f35fcb19ea50373fc10f2219f4a12754
118,127,zhang-yiqian-26,,,male,,,长桑,,55078,17264,11,123,0,38,14339,算命,生活,人生,道教,紫微斗数,afe4f7e04f784e41fb40c9a6a815924b
119,128,liu-hong-jia,伦敦（Greater London）,创意艺术,male,,Central Saint Martins,阿猴HOSEA,,41943,9525,11,44,16,204,19960,摄影,旅行,摄影技巧,电影,音乐,fba40906e5b829b22fe97db1b3723a82
120,129,zhongwens,深圳市,,male,,北京服装学院,ZhongWens,,1772,576,11,28,0,229,1030,摄影技术,生活,摄影师,摄影后期技术,手机摄影,ed20dc58860e88660c6441d6cf222ea2
121,130,ourdearamy,广州,互联网,female,,广东外语外贸大学,OurDearAmy,,25367,10907,11,383,0,170,309955,产品经理,产品运营,社交网络,腾讯,互联网社区运营,2f2d3566deea67b733a23d05b85b11f5
122,131,qiao-long-26,北京,互联网,male,谱时商业摄影,华南理工大学（SCUT）,乔2仁,,1416,276,11,25,0,242,369,摄影,旅行,商业,阅读,文学,47cf118a3321c96ffa6a294daa6bfbaa
123,132,yang-kai-di-1,北京,,male,万合天宜,山东大学（威海）,凯迪,,24912,6077,11,37,3,174,5129,摄影,文学,摄影师,Adobe Photoshop,服饰搭配,54473d92eccf494108103c3837fa16d1
124,133,sa-lang-38,,,female,,,萨朗,,33588,8853,11,38,0,100,31733,两性关系,恋爱,调查类问题,X 是种怎样的体验,性生活,7c8d2f371d27496842dbfb0930b8fae1
125,134,jayceechen,北京,互联网,female,互联网创业公司,香港中文大学 (CUHK),Jaycee Chen,,16099,6353,11,15,31,1133,2663,阅读,文学,生活,微博,北京,1ba478a5691dad9c263eac00b7b8ab4d
126,136,seanvil,,,male,Deeperjoy.com,,阿秋,,5822,1772,11,54,3,24,10547,健身,炉石传说（Hearthstone）,历史,Steam,次文化,c0a596bedb6b12d21aaa4d35679b01fa
127,137,meng-meng-66-40,广州市,银行,female,,,梦萌,,1790,582,11,200,0,366,3899,BDSM,性生活,成人内容,个人情感咨询,美食,9871ff101a813d213b1fd4e8e0f6de4f
128,138,bao-sheng-chou,北京 朝阳,,female,,,鲍声丑,,14924,2315,11,28,1,31,11952,生活,艺术,旅行,胶片,设计,2f487b7c331052e287a2e505e575dc5b
129,139,li-ying-bo-33,西安市,创意艺术,female,,,奔跑中的兔子,,1464,179,11,90,0,79,163,钢琴,,,,,200fd1160d60266bd6bad5ddf9ff0df7
130,140,sheng-jie-38,澳门,非营利组织,male,新媒体运营,澳门科技大学,圣杰,,29,3,11,10,0,39,55,摄影,手机摄影,LOFTER（乐乎）,电影,旅行,9f841204f6a8d9689744d6eafcad269b
131,141,niu-yang-yu,,,female,,,刘诗群,,73,6,11,16,0,18,52,异地恋,魔力红（Maroon 5）,MacBook Air,无领导小组讨论,运动手环,23cf7e5427dae5cc8f157eba2df5730c
132,142,dx-zhao,武汉/上海,酒店,male,,,DX zhao,,664,158,11,102,0,26,137,足球,摄影,巴塞罗那（FC Barcelona）,萨克斯,欧洲冠军联赛,60a95bd1c91970e56c96de27f5e096f8
133,143,xiao-ying-luo-57,武汉,纺织皮革业,female,,武汉纺织大学,林木析,,632,267,11,151,0,237,731,生活,情感,大学寝室,服饰搭配,知乎,e9e23bf045154b5ae445486992c445ad
134,144,ghhhhhhh,武汉,互联网,female,,,郭姑娘hhhhhhh,,342,97,11,49,0,747,414,恋爱,两性关系,恋爱心理,女性,异地恋,9ba6bde24cb1e46114db408ad2dfc57b
135,145,tai-zai-yan,北京,创意艺术,female,电影,,太宰琰,,84987,20290,11,128,7,523,39728,电影,韩国电影,心理学,剧本,电影产业,04a4b31ab9b9b70a2e58248c3b39ee13
136,147,sizhuren,北京,互联网,female,女神进化论,香港理工大学 (PolyU),寺主人,,1052631,222179,11,145,164,742,557672,化妆,美容护肤,学习,心理学,书籍推荐,a9767cdbcc0404778bbb0e6ddeab0eba
137,148,shi-si-52,深圳市,高新科技,female,,武汉纺织大学,十四,,13474,3047,11,163,0,300,2307,Lolita 洋装,电影,程序员,调查类问题,动漫,49ada2588de3963642b22284822c54a8
138,149,ling-jia-18,杭州,互联网,male,,南京大学金陵学院,凌驾LING,,11,4,11,16,0,191,58,摄影,旅行,生活,知乎,艺术,6b6a9749c686e46a8b68b6025289a070
139,150,lu-yu-49-51,北京,互联网,female,,,路郁,,1075,284,11,7,0,167,324,电影,咖啡,摄影,文学,冷知识,d8e4c53cd0f6076e8331e2e2c9d9a3fb
140,151,jjying,上海,互联网,male,百度,上海大学,JJ Ying,,25333,5358,11,523,133,370,105022,用户界面设计,设计,Adobe Photoshop,设计师,网页设计‮,40c10b307e4222fe5115c37013992ff1
